"account_number","agent_id","source_ip","source_port","destination_ip","destination_port","ip_version","transport_protocol","agent_assigned_process_id","agent_creation_date","timestamp"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-03 22:00:42.874","2021-07-03 22:31:14.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-03 22:15:45.703","2021-07-03 22:43:51.000"
"123456789012","o-6cif0wg3evk5xiw5o","199.19.224.11",,"10.146.0.33","22","IPv4","TCP","250C7EADC94AA37281BCB2BEA0FE8B4B5D2AAB19","2021-07-04 02:02:35.649","2021-07-04 02:27:10.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-04 02:01:32.207","2021-07-04 02:31:52.000"
"123456789012","o-6cif0wg3evk5xiw5o","209.141.48.127",,"10.146.0.33","22","IPv4","TCP","250C7EADC94AA37281BCB2BEA0FE8B4B5D2AAB19","2021-07-04 02:17:38.589","2021-07-04 02:34:44.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-04 02:16:34.273","2021-07-04 02:39:28.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-03 14:59:16.227","2021-07-03 15:18:16.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-04 02:31:37.811","2021-07-04 02:49:33.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-04 05:32:13.813","2021-07-04 05:48:53.000"
"123456789012","o-6cif0wg3evk5xiw5o","192.241.214.5",,"10.146.0.33","22","IPv4","TCP","250C7EADC94AA37281BCB2BEA0FE8B4B5D2AAB19","2021-07-04 05:33:17.372","2021-07-04 05:51:34.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-03 22:30:50.175","2021-07-03 22:59:01.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-03 22:45:53.397","2021-07-03 23:11:38.000"
"123456789012","o-25zxbz550dvex7b59","192.168.0.200",,"192.168.0.10","22","IPv4","TCP","96B3F74512889156FBA1CBE0166BB67909D8B402","2021-07-03 13:28:54.317","2021-07-03 13:51:30.000"
"123456789012","o-39iqezsdkbdt5j7kf","39.110.130.142",,"172.31.73.78","22","IPv4","TCP","DD4C196D47545A32039F2B0D3B3539645BEACA28","2021-07-03 13:29:44.189","2021-07-03 13:55:21.000"
"123456789012","o-1zafso4q4q212rf51","39.110.130.142",,"172.31.69.91","3389","IPv4","TCP","3817A51875B65202D81682E8398DEA85D237CF42","2021-07-03 13:40:45.386","2021-07-03 13:57:28.000"
